local-authority-code,council,start_year,end_year,data_type,emission_savings,project_name,lifetime,cost,funding_source,emission_source,annual_cost,annual_savings,measurement,savings_start,comments
ABE,Aberdeen City Council,2014,2015,project,,Roll out of solar PV panels on 70 Council owned buildings.,,,,,,,,,These projects aren't fully detailed as that information isn't collated in one place yet.
ABE,Aberdeen City Council,2014,2015,project,,Expansion of Co-Wheels car club network - staff can become members of the car club.,,,,,,,,,
ABE,Aberdeen City Council,2014,2015,project,,Introduction of 2 two hydrogen diesel hybrid vans to the Council fleet.,,,"Part of the HyTrEc project
(Hydrogen Transport Economy in the North Sea Region)",,,,,2015/16,
ABE,Aberdeen City Council,2014,2015,project,,Street Lighting retrofit programme.,,,,,,,,,
ABE,Aberdeen City Council,2014,2015,project,,"Introduction of Smarter Working in 2014, a flexible working approach that has streamlined office working and enabled rationalisation of main office buildings.",,,,,,,,,
ABE,Aberdeen City Council,2014,2015,project,,Food waste collections from all schools and main office canteens.,,,,,,,,,
ABE,Aberdeen City Council,2014,2015,project,,Roll out of mixed recycling and corporate collections for recycling batteries and waste electronic and electrical equipment (WEEE).,,,,,,,,,
ABE,Aberdeen City Council,2014,2015,project,,"Bus, bike and green car salary sacrifice schemes were in operation.",,,,,,,,,
ABE,Aberdeen City Council,2014,2015,project,,Window replacement,,,Conditions and suitability plan,,,,,2015/16,
ABE,Aberdeen City Council,2014,2015,project,,Overcladding and insulations,,,Conditions and suitability plan,,,,,2015/16,
ABE,Aberdeen City Council,2014,2015,project,,Roof replacement,,,Conditions and suitability plan,,,,,2015/16,
ABE,Aberdeen City Council,2015,2016,project,,On going replacement of high output with lower energy LED units as per maintenance and new lantern programme,,,Aberdeen City Council,Grid Electricity ,,,Estimated,,
ABE,Aberdeen City Council,2015,2016,project,,Implementation of energy efficiency measures on building on an on-going basis through maintenance and upgrade programme.,,,Aberdeen City Council,Grid Electricity ,,,Estimated,,
ABE,Aberdeen City Council,2015,2016,project,,Implementation of energy efficiency measures on building on an on-going basis through maintenance and upgrade programme.,,,Aberdeen City Council,Natural Gas,,,Estimated,,
ABE,Aberdeen City Council,2015,2016,project,,Introduction of 2 two hydrogen diesel hybrid vans to the Council fleet plus two fuel cell range extended vans.,,,HyTrEc – Interreg IVB funding (European),Diesel (average biofuel blend),,,Estimated,,Vans are still using a temporary hydrogen supply therefore not fully utilised yet.  Once the second H2 refuelling station is operational (Q4 2016) the vehicles will be fully tested.
ABE,Aberdeen City Council,2015,2016,project,,"Expansion of Co-Wheels car club network with more vehicles available, more low carbon vehicles available to staff.",5,,"Aberdeen City Council, Transport Scotland, Co-wheels Car Club",Diesel (100% mineral diesel),,,Estimated,2012,"- Additional 9 vehicles added during the reporting year 2015/2016 (38 vehicles) compare to 2014/2015 (29 vehicles).  
- Additional 119 employees signed in the Co-wheels Car Club during reporting year 2015/2016 (588 employees compare to 2014/2015 (469 employees) 
"
ABE,Aberdeen City Council,2015,2016,project,,Expansion of electric vehicles charging points available within the city.,,,"Transport Scotland, Energy Saving Trust Scotland, Office for Low Emission Vehicles",Diesel (average biofuel blend),,,Estimated,2012,"Increased charging points for electric vehicles from 58 in 2014/2015 to 62 in 2015/2016 with additional 4 charging points. 


"
ABE,Aberdeen City Council,2016,2017,project,,"On-going replacement
of high output with
lower energy LED units as per maintenance
and new lantern programme.",,,Aberdeen City Council,Grid Electricity ,,,Estimated,,"From 2016-2023. Estimated 4,366 tCO2e over 7 years."
ABE,Aberdeen City Council,2016,2017,project,,"Implementation of
energy efficiency
measures on buildings
on an on-going basis
through the maintenance
and upgrade
programme.",,,Aberdeen City Council,Other,,,Estimated,2015/16,"Can save grid electricity and natural gas. Aberdeen City Council  has an ongoing programme to reduce energy efficiency in public buildings by 2.5% per year. 2015/16 a saving of 2,349 tCO2e was achieved. Energy efficiency Projects are currently measured on energy cost savings for paybacks."
ABE,Aberdeen City Council,2016,2017,project,,On-going expansion of the use of hydrogen vehicles within our fleet.,,,"HyTrEc 
Interreg IVB
funding
(European), private partners and Aberdeen City Council",Other,,,Estimated,,Will save both diesel and petrol emission.
ABE,Aberdeen City Council,2016,2017,project,,"On-going expansion of the Co-
Wheels car club
network with more
vehicles available,
with greater diversity and range of low carbon
vehicles available to
staff.",,,"Aberdeen City
Council,
Transport
Scotland, Co-Wheels
Car
Club",Other,,,Estimated,2012/13,Will save both diesel and petrol emission.
ABE,Aberdeen City Council,2016,2017,project,,"Expansion of electric
vehicles charging
points available within the city.",,,"Transport
Scotland,
Energy Saving
Trust Scotland,
Office for Low
Emission
Vehicles",Other,,,Estimated,2012/13,Will save both diesel and petrol emission.
